"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 1",1,1,289982,918,226,"Cijk_Alik_Bljk_HB_MT128x128x32_MI16x16x16x1_SN_1LDSB0_AMAS3_BL1_BS1_EPS1_GLVWA8_GLVWB8_GRVW8_GSU1_GSUASB_ISA1151_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LRVW16_MIAV1_MMFGLC_NLCA1_NLCB1_PGR1_PLR0_SIA1_SS1_SU32_SUS256_SVW2_TT4_64_TLDS1_UMLDSA1_UMLDSB1_USFGROn1_VAW2_VSn1_VW2_VWB2_WSGRA1_WSGRB1_WS32_WG32_4_1_WGM8",918,178356176859511,178356177053797,51200,0,256,0,128,128,1,1,768,32,1
"KERNEL_DISPATCH","Agent 1",1,1,289982,919,45,"void lczero::rocm_backend::layer_norm_kernel<__half>(int, int, __half*, __half const*, __half const*, __half const*, __half const*, __half const*, float, float, lczero::ActivationFunction)",919,178356177059888,178356177130220,1024,0,96,0,128,32,2,8,16384,2,8
"KERNEL_DISPATCH","Agent 1",1,1,289982,920,226,"Cijk_Alik_Bljk_HB_MT128x128x32_MI16x16x16x1_SN_1LDSB0_AMAS3_BL1_BS1_EPS1_GLVWA8_GLVWB8_GRVW8_GSU1_GSUASB_ISA1151_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LRVW16_MIAV1_MMFGLC_NLCA1_NLCB1_PGR1_PLR0_SIA1_SS1_SU32_SUS256_SVW2_TT4_64_TLDS1_UMLDSA1_UMLDSB1_USFGROn1_VAW2_VSn1_VW2_VWB2_WSGRA1_WSGRB1_WS32_WG32_4_1_WGM8",920,178356177136071,178356177378808,51200,0,256,0,128,128,1,1,1024,32,1
"KERNEL_DISPATCH","Agent 1",1,1,289982,921,57,"void lczero::rocm_backend::addBiasBatched_kernel<__half, (lczero::ActivationFunction)1>(__half*, __half const*, __half const*, int, int)",921,178356177385420,178356177425175,0,0,40,0,128,256,2,1,524288,2,1
"KERNEL_DISPATCH","Agent 1",1,1,289982,922,226,"Cijk_Alik_Bljk_HB_MT128x128x32_MI16x16x16x1_SN_1LDSB0_AMAS3_BL1_BS1_EPS1_GLVWA8_GLVWB8_GRVW8_GSU1_GSUASB_ISA1151_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LRVW16_MIAV1_MMFGLC_NLCA1_NLCB1_PGR1_PLR0_SIA1_SS1_SU32_SUS256_SVW2_TT4_64_TLDS1_UMLDSA1_UMLDSB1_USFGROn1_VAW2_VSn1_VW2_VWB2_WSGRA1_WSGRB1_WS32_WG32_4_1_WGM8",922,178356177430826,178356177685825,51200,0,256,0,128,128,1,1,768,32,1
"KERNEL_DISPATCH","Agent 1",1,1,289982,923,45,"void lczero::rocm_backend::layer_norm_kernel<__half>(int, int, __half*, __half const*, __half const*, __half const*, __half const*, __half const*, float, float, lczero::ActivationFunction)",923,178356177691415,178356177749965,1024,0,96,0,128,32,2,8,16384,2,8
"KERNEL_DISPATCH","Agent 1",1,1,289982,924,188,"Cijk_Alik_Bljk_HB_MT128x128x32_MI16x16x16x1_SN_1LDSB0_AMAS3_BL1_BS1_EPS1_GLVWA8_GLVWB8_GRVW8_GSU1_GSUASB_ISA1151_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LRVW16_MIAV1_MMFGLC_NLCA1_NLCB1_PGR1_PLR0_SIA1_SS1_SU0_SUS0_SVW2_TT4_64_TLDS1_UMLDSA1_UMLDSB1_USFGROn1_VAW2_VSn1_VW2_VWB2_WSGRA1_WSGRB1_WS32_WG32_4_1_WGM4",924,178356177756037,178356177793307,51200,0,256,0,128,128,1,1,128,32,1
"KERNEL_DISPATCH","Agent 1",1,1,289982,925,216,"Cijk_Alik_Bljk_HB_MT128x128x32_MI16x16x16x1_SN_1LDSB0_AMAS3_BL1_BS1_EPS1_GLVWA8_GLVWB8_GRVW8_GSU1_GSUASB_ISA1151_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LRVW16_MIAV1_MMFGLC_NLCA1_NLCB1_PGR1_PLR0_SIA1_SS1_SU32_SUS256_SVW2_TT4_64_TLDS1_UMLDSA1_UMLDSB1_USFGROn1_VAW2_VSn1_VW2_VWB2_WSGRA1_WSGRB1_WS32_WG32_4_1_WGM4",925,178356177799198,178356177922991,51200,0,256,0,128,128,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,1,289982,926,45,"void lczero::rocm_backend::layer_norm_kernel<__half>(int, int, __half*, __half const*, __half const*, __half const*, __half const*, __half const*, float, float, lczero::ActivationFunction)",926,178356177928650,178356177941795,1024,0,96,0,128,32,1,16,128,1,16
"KERNEL_DISPATCH","Agent 1",1,1,289982,927,208,"Cijk_Alik_Bljk_HB_MT128x128x32_MI16x16x16x1_SN_1LDSB0_AMAS3_BL1_BS1_EPS1_GLVWA8_GLVWB8_GRVW8_GSU1_GSUASB_ISA1151_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LRVW16_MIAV1_MMFGLC_NLCA1_NLCB1_PGR1_PLR0_SIA3_SS1_SU0_SUS0_SVW2_TT4_64_TLDS1_UMLDSA1_UMLDSB1_USFGROn1_VAW2_VSn1_VW2_VWB2_WSGRA1_WSGRB1_WS32_WG32_4_1_WGM8",927,178356177944952,178356178011036,51200,0,256,0,128,128,1,1,6144,1,1
